resume_id,job_id,category,human_label,bi_encoder_score
47410104,3902937388,FINANCE,0,0.1787718
47470864,3903844387,HR,0,0.14824125
85417107,3900092950,HEALTHCARE,1,0.39269084
21866029,3905283680,HEALTHCARE,0,0.38912854
16877897,3894533187,HR,1,0.50774175
17812897,3901951304,HR,0,0.26912814
17812897,3902880391,HR,1,0.58512306
24854026,3887874075,FINANCE,0,0.15621924
93988900,3905293818,HEALTHCARE,0,0.29662
26958533,3885843769,HEALTHCARE,0,0.2623023
47470864,3901963538,HR,1,0.639181
85417107,3885828280,HEALTHCARE,1,0.3758906
26958533,3905313002,HEALTHCARE,0,0.2416762
33685988,3894874284,FINANCE,0,0.18962824
23296286,3901173097,SALES,1,0.25950485
30083943,3905823054,SALES,1,0.25922298
26958533,3901685555,HEALTHCARE,0,0.24865502
17812897,3884431645,HR,1,0.5793998
26958533,3905313436,HEALTHCARE,1,0.30630758
20237244,3905849640,INFORMATION-TECHNOLOGY,0,0.2084857
31677347,3885110406,ENGINEERING,0,0.34774184
21866029,3889718031,HEALTHCARE,0,0.32174918
17812897,3889486955,HR,0,0.24728589
28005884,3903842408,ENGINEERING,0,0.33241528
47470864,3884444742,HR,0,0.21359591
24854026,3902359821,FINANCE,1,0.68108195
29149998,3906093642,HR,0,0.26790684
10553553,3905841768,INFORMATION-TECHNOLOGY,0,0.299645
38314236,3904093392,ENGINEERING,0,0.419205
20237244,3901669333,INFORMATION-TECHNOLOGY,0,0.22202148
47410104,3904502420,FINANCE,0,0.3041222
22319662,3905305117,SALES,0,0.284796
16877897,3905334013,HR,1,0.17662555
23296286,3899544157,SALES,0,0.22731787
30083943,3895807323,SALES,0,0.44156048
47410104,3903822963,FINANCE,0,0.20333049
85417107,3901939052,HEALTHCARE,1,0.3596212
17108676,3900966220,ENGINEERING,0,0.27084947
31677347,3898155848,ENGINEERING,0,0.37296134
93988900,3885854671,HEALTHCARE,0,0.43588433
85417107,3904718774,HEALTHCARE,0,0.3066059
28198029,3895804200,SALES,0,0.3879462
30083943,3888000689,SALES,0,0.2660162
28005884,3905205177,ENGINEERING,0,0.2626168
85417107,3903848547,HEALTHCARE,0,0.3972041
29149998,3901377050,HR,0,0.43099192
28198029,3906082457,SALES,0,0.37196082
38314236,3905295226,ENGINEERING,1,0.6254909
17108676,3905332034,ENGINEERING,0,0.10819194
29149998,3904501432,HR,0,0.5213333
24854026,3889156478,FINANCE,0,0.29426485
16877897,3904360730,HR,0,0.37199885
10553553,3887878862,INFORMATION-TECHNOLOGY,0,0.4478217
29149998,3904432418,HR,0,0.24519797
10553553,3902324315,INFORMATION-TECHNOLOGY,0,0.25431368
22319662,3895811390,SALES,1,0.18911585
26958533,3885861741,HEALTHCARE,0,0.26102853
17108676,3899540632,ENGINEERING,0,0.13419345
38314236,3905249909,ENGINEERING,0,0.52913
17108676,3905885978,ENGINEERING,0,0.3791219
24083609,3901372262,INFORMATION-TECHNOLOGY,0,0.24932523
21866029,3902746186,HEALTHCARE,0,0.35744354
17812897,3887908409,HR,0,0.21951473
16899268,3905831504,INFORMATION-TECHNOLOGY,0,0.36506122
47410104,3902367472,FINANCE,0,0.48931012
29149998,3891295328,HR,1,0.5999306
12858898,3905294630,FINANCE,0,0.37789416
16877897,3904389110,HR,1,0.3755688
23296286,3901954577,SALES,0,0.30284095
20237244,3902750948,INFORMATION-TECHNOLOGY,0,0.36597878
23296286,3904585036,SALES,0,0.3530425
12858898,3899522698,FINANCE,0,0.32810387
31677347,3884990768,ENGINEERING,1,0.35153362
24083609,3902848146,INFORMATION-TECHNOLOGY,0,0.37368742
17108676,3905244995,ENGINEERING,0,0.027799848
21866029,3901358547,HEALTHCARE,0,0.34333915
23296286,3904362249,SALES,1,0.39053
38314236,3905872737,ENGINEERING,0,0.39921856
33685988,3906246964,FINANCE,0,0.31902772
28005884,3900947844,ENGINEERING,0,0.5172949
26958533,3904991376,HEALTHCARE,0,0.42077
28005884,3901699127,ENGINEERING,0,0.20695007
33685988,3903847548,FINANCE,1,0.48646963
28198029,3903474862,SALES,0,0.38326752
16899268,3906230748,INFORMATION-TECHNOLOGY,0,0.36006364
38314236,3888035014,ENGINEERING,0,0.43499804
16899268,3903883186,INFORMATION-TECHNOLOGY,0,0.40266794
16899268,3891074620,INFORMATION-TECHNOLOGY,0,0.3078395
47410104,3905308922,FINANCE,0,0.36660972
22319662,3895598320,SALES,0,0.50728196
20237244,3901638429,INFORMATION-TECHNOLOGY,0,0.36463302
20237244,3898176137,INFORMATION-TECHNOLOGY,0,0.4506738
16899268,3904972441,INFORMATION-TECHNOLOGY,0,0.30057916
28005884,3905311069,ENGINEERING,0,0.15615295
28198029,3901935425,SALES,1,0.49658567
47470864,3889437728,HR,0,0.3909976
12858898,3905307541,FINANCE,0,0.292839
47410104,3905286463,FINANCE,0,0.3406253
16899268,3901161851,INFORMATION-TECHNOLOGY,0,0.037691124
38314236,3902921380,ENGINEERING,0,0.31021154
17812897,3901167349,HR,1,0.7505933
24083609,3889706607,INFORMATION-TECHNOLOGY,0,0.35264143
31677347,3889198723,ENGINEERING,0,0.27893797
23296286,3906253313,SALES,0,0.29186314
33685988,3901998779,FINANCE,1,0.39580062
22319662,3898157722,SALES,0,0.46237922
21866029,3898169011,HEALTHCARE,0,0.3752908
28198029,3902929847,SALES,0,0.47739592
31677347,3901618884,ENGINEERING,0,0.36309347
31677347,3905236860,ENGINEERING,0,0.31107375
12858898,3888027067,FINANCE,1,0.3338023
16877897,3902392703,HR,1,0.5335444
10553553,3874702220,INFORMATION-TECHNOLOGY,0,0.114449024
29149998,3895515593,HR,1,0.48169744
12858898,3902348225,FINANCE,0,0.38794097
93988900,3901940525,HEALTHCARE,0,0.35654396
47470864,3884435055,HR,0,0.2954965
93988900,3885821519,HEALTHCARE,0,0.3464101
